"A_Ctrl10.8m.nodup.q30"	"A_Ctrl11.8m.nodup.q30"	"A_Ctrl12.8m.nodup.q30"	"A_Ctrl1.8m.nodup.q30"	"A_Ctrl13.8m.nodup.q30"	"A_Ctrl14.8m.nodup.q30"	"A_Ctrl15.8m.nodup.q30"	"A_Ctrl16.8m.nodup.q30"	"A_Ctrl17.8m.nodup.q30"	"A_Ctrl18.8m.nodup.q30"	"A_Ctrl2.8m.nodup.q30"	"A_Ctrl3.8m.nodup.q30"	"A_Ctrl4.8m.nodup.q30"	"A_Ctrl5.8m.nodup.q30"	"A_Ctrl6.8m.nodup.q30"	"A_Ctrl7.8m.nodup.q30"	"A_Ctrl8.8m.nodup.q30"	"A_Ctrl9.8m.nodup.q30"	"A_Apc10.8m.nodup.q30"	"A_Apc11.8m.nodup.q30"	"A_Apc12.8m.nodup.q30"	"A_Apc1.8m.nodup.q30"	"A_Apc13.8m.nodup.q30"	"A_Apc2.8m.nodup.q30"	"A_Apc3.8m.nodup.q30"	"A_Apc4.8m.nodup.q30"	"A_Apc5.8m.nodup.q30"	"A_Apc6.8m.nodup.q30"	"A_Apc7.8m.nodup.q30"	"A_Apc8.8m.nodup.q30"	"A_Apc9.8m.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"1:130070001-130080000"	12.9517982996304	2.08440926486568	27.1814936946088	0	8.04138633500416	16.1455955992488	20.281451497126	2.91908394183463	0	8.99331464660908	14.6932688298832	19.6887185470963	36.8543151091636	7.10041996143904	0	53.0345335570587	0	14.2446094302591	0	23.3277454234909	2.78362687374624	48.5981817652995	84.2670339420015	80.7306971117129	29.5287017540625	177.896701496396	55.6567560289068	44.1411919618141	202.388558185347	126.769564696629	92.99260745096	0.000405102690388339	0.000405102690331782	2.45795482345619	2.34265712777464	"upsig"	"upsig"	"upsig"	"upsig"
"1:134280001-134290000"	8.63453219975357	49.3310192684877	25.7508887633136	116.067187561724	13.4023105583403	77.3643122464006	73.8824304538163	146.68396807719	9.01710084157504	41.5076060612727	11.7546150639065	41.4869426528101	0	64.6138216490953	5.76749830147175	31.3385880109892	40.863239652499	19.9424532023627	0	126.244269350656	181.631653511942	41.2348208917693	0	281.485793469158	114.51374582673	224.068364480194	270.120789260294	39.6522571860364	236.119984549571	73.5846323813765	0	0.00694861260217594	0.0069486126022017	1.50054751584747	1.66541352274927	"upsig"	"upsig"	"upsig"	"upsig"
"1:140520001-140530000"	0	6.94803088288559	11.4448394503616	0	0	4.03639889981221	20.281451497126	40.1374042002261	0	6.91793434354545	2.93865376597663	7.03168519539155	4.33580177754865	22.7213438766049	1.44187457536794	39.775900167794	0	17.0935313163109	64.4951594367369	19.2110844664042	0	2.94534434941209	17.9585482171479	12.1453261141515	50.4148566532774	0	77.9194584404695	30.674387634481	94.7350697888858	39.3422786989538	18.8891233884763	0.00847698466985369	0.008476984669884	1.6812141035669	1.77153492106419	"upsig"	"upsig"	"upsig"	"upsig"
"1:142230001-142240000"	5.03681044985625	27.7921235315424	2.8612098625904	0	10.7218484466722	1.3454662999374	0	8.75725182550388	0	0	0	0	44.080651405078	8.52050395372685	0	2.41066061622994	1.4859359873636	32.7626016895959	10.0773686619901	34.3055079757219	55.6725374749247	6.6270247861772	6.21642053670503	5.71544758313011	18.0053059475991	13.5799008775875	46.7516750642817	62.8450868608879	12.9184186075753	34.2423536824227	47.9493132169013	0.00352917068883149	0.00352917068883107	1.75317975970536	3.20813562524028	"upsig"	"upsig"	"upsig"	"upsig"
"1:146650001-146660000"	46.7703827486652	12.5064555891941	0	0	32.1655453400166	13.454662999374	57.947004277503	1.45954197091731	0	0	15.4279322713773	2.81267407815662	52.7522549601753	22.011301880461	31.7212406580946	60.2665154057485	33.433559715681	14.2446094302591	0	19.2110844664042	146.140410871677	20.6174104458846	8.97927410857393	32.8638236029982	2.88084895161585	107.281216932941	96.4717104501051	108.482590414628	99.7588992473873	61.9276609150198	159.104539310627	0.0044216275962402	0.00442162759624676	1.59100473177892	2.06145544367293	"upsig"	"upsig"	"upsig"	"upsig"
"1:148010001-148020000"	10.0736208997125	39.6037760324479	0	0	21.4436968933444	10.0909972495305	0	23.352671534677	5.41026050494502	4.15076060612727	38.9371623991904	0	18.7884743693775	32.6619318226196	0	12.0533030811497	0	12.8201484872332	0	176.33031099521	108.561448076103	11.7813773976484	8.2885607156067	52.8678901439536	0	0	101.666341012803	78.5563585761099	90.4289302530273	52.456371598605	35.5987325398206	0.00326590572435036	0.00326590572434737	2.11274272136055	2.37929193383845	"upsig"	"upsig"	"upsig"	"upsig"
"1:148110001-148120000"	20.147241799425	0	2.1459073969428	0	82.4242099337926	14.1273961493427	51.4279662962839	0	3.60684033663002	67.1039631323909	19.8359129203423	29.5330778206445	24.569543406109	24.8514698650366	42.5352999733542	4.82132123245988	0	21.3669141453886	6.04642119719408	382.163358849542	73.7661121542753	142.112864859133	12.4328410734101	10.0020332704777	4.32127342742378	69.2574944756963	226.337474517554	54.6153731052954	99.7588992473873	129.683807563218	106.069692873751	0.00491077378557565	0.00491077378558613	2.15786931791235	1.88356589338711	"upsig"	"upsig"	"upsig"	"upsig"
"1:149540001-149550000"	18.7081530994661	1.38960617657712	0	0	46.9080869541909	1.3454662999374	57.2226667240342	8.75725182550388	18.0342016831501	4.15076060612727	55.0997581120619	18.9855500275572	27.4600779244748	51.1230237223611	4.32562372610381	79.5518003355881	14.859359873636	67.6618947937306	8.06189492959211	24.6999657425197	50.1052837274323	72.8972726479493	98.081301801346	100.734763652668	56.1765545565091	1.35799008775875	134.318304549762	173.572144663405	141.384914760686	222.211018577424	4.35902847426375	0.0032058923231582	0.00320589232315449	1.66334147347307	1.98842074872727	"upsig"	"upsig"	"upsig"	"upsig"
"1:150510001-150520000"	35.9772174989732	49.3310192684877	17.88256164119	8.82382127662232	12.0620795025062	2.6909325998748	26.8004894783451	30.6503813892636	10.82052100989	1.38358686870909	1.46932688298832	15.4697074298614	7.22633629591442	14.2008399228781	28.8374915073587	45.8025517083689	34.1765277093628	32.7626016895959	99.4300374649694	17.8388641473754	73.7661121542753	27.9807713194149	50.4220776866075	100.734763652668	20.165942661311	2.03698513163813	60.8513865916048	147.386691804701	0	114.384032513625	23.9746566084506	0.00489692824438149	0.00489692824439181	1.44286166588275	1.5962706506368	"upsig"	"upsig"	"upsig"	"upsig"
"1:153460001-153470000"	12.2322539496509	0	2.8612098625904	0	6.03103975125312	0	11.5894008555006	7.29770985458656	3.60684033663002	15.2194555558	5.14264409045911	7.7348537149307	10.1168708142802	36.922183799483	0	98.8370852654276	15.6023278673178	18.5179922593368	59.7923873944748	2.74444063805775	5.56725374749247	56.6978787261828	4.14428035780335	44.2947187692584	55.4563423186052	1.35799008775875	144.707565675158	71.8229564124433	5.02382945850152	225.85382216066	243.379089813059	0.00961827733918144	0.00961827733921838	2.34066655080232	2.88326140564853	"upsig"	"upsig"	"upsig"	"upsig"
"1:157950001-157960000"	28.7817739991786	0	7.15302465647599	0	8.04138633500416	4.03639889981221	0	8.75725182550388	33.3632731138276	4.15076060612727	13.2239419468949	41.4869426528101	13.007405332646	36.2121418033391	25.2328050689389	38.5705698596791	37.14839968409	7.12230471512953	38.9658254930285	17.8388641473754	2.78362687374624	50.8071900273586	51.8035044725419	4.28658568734758	64.8191014113567	0	71.2406477170007	184.046325806886	14.3537984528615	79.4131181145548	178.720167444814	0.00931959847351752	0.0093195984735529	1.77884422143663	2.22304538114979	"upsig"	"upsig"	"upsig"	"upsig"
"1:159040001-159050000"	40.29448359885	4.16881852973135	33.6192158854372	0	5.3609242233361	12.7819298494053	7.24337553468787	5.10839689821059	0	29.0553242428909	7.34663441494158	84.3802223446986	85.9934019213817	94.4355854871392	15.1396830413633	108.479727730347	0	13.5323789587461	0	1.37222031902887	34.0994292033914	71.4246004732432	252.801101826004	199.326234461663	18.725518185503	140.551974083031	153.612646639783	82.2971375559246	39.4729457453691	83.0559216977913	294.960926758514	0.00502363863709425	0.00502363863710564	1.79599621100844	2.64499475157073	"upsig"	"upsig"	"upsig"	"upsig"
"1:165490001-165500000"	11.5127095996714	29.1817297081195	10.0142345190664	0	8.04138633500416	5.38186519974961	7.96771308815666	69.3282436185724	51.3974747969777	177.790912629118	41.1411527236729	2.10950555861746	11.5621380734631	42.6025197686342	54.0702965762977	98.8370852654276	5.9437439494544	28.4892188605181	63.8233348592709	25.3860759020342	129.4386496292	97.932699617952	48.3499375077058	132.884156307775	20.165942661311	107.281216932941	136.544574790918	33.6670108183328	101.194279092673	134.783732579749	157.651529819206	0.00255447001251709	0.00255447001250542	1.32897335204648	2.33720470429263	"upsig"	"upsig"	"upsig"	"upsig"
"1:167360001-167370000"	92.1016767973714	4.16881852973135	1.4306049312952	35.2952851064893	22.7839279491784	32.2911911984976	12.3137384089694	21.8931295637597	1.80342016831501	0	2.93865376597663	84.3802223446986	24.569543406109	39.7623517840586	0	65.0878366382084	4.4578079620908	51.9928244204456	2.68729830986404	4.80277111660106	19.4853881162237	104.559724404129	92.5555946576082	89.303868486408	113.793533588826	286.535908517097	233.758375321408	101.749188250961	66.0274728831628	303.081258125273	4.35902847426375	0.00330583776138451	0.00330583776138194	1.98601186406039	2.05078602728818	"upsig"	"upsig"	"upsig"	"upsig"
"1:169560001-169570000"	38.8553948988911	33.3505482378508	364.804257480276	458.159950901543	5.3609242233361	89.4735089458373	16.6597637297821	81.0045793859109	3.60684033663002	0	234.357637836637	24.6108981838704	243.527533172316	146.978693201788	1.44187457536794	57.8558547895186	289.757517535902	66.2374338507047	256.636988592016	513.210399316799	1239.40986553551	304.106804076798	95.3184482294771	1196.67183771787	112.353109113018	0	223.369114196013	1024.22528467328	894.24164361327	346.066340407464	998.94402535211	0.000576532222088462	0.000576532222037462	2.2100082853559	2.4796235348457	"upsig"	"upsig"	"upsig"	"upsig"
