"A_Ctrl10.8m.nodup.q30"	"A_Ctrl11.8m.nodup.q30"	"A_Ctrl12.8m.nodup.q30"	"A_Ctrl1.8m.nodup.q30"	"A_Ctrl13.8m.nodup.q30"	"A_Ctrl14.8m.nodup.q30"	"A_Ctrl15.8m.nodup.q30"	"A_Ctrl16.8m.nodup.q30"	"A_Ctrl17.8m.nodup.q30"	"A_Ctrl18.8m.nodup.q30"	"A_Ctrl2.8m.nodup.q30"	"A_Ctrl3.8m.nodup.q30"	"A_Ctrl4.8m.nodup.q30"	"A_Ctrl5.8m.nodup.q30"	"A_Ctrl6.8m.nodup.q30"	"A_Ctrl7.8m.nodup.q30"	"A_Ctrl8.8m.nodup.q30"	"A_Ctrl9.8m.nodup.q30"	"A_Apc10.8m.nodup.q30"	"A_Apc11.8m.nodup.q30"	"A_Apc12.8m.nodup.q30"	"A_Apc1.8m.nodup.q30"	"A_Apc13.8m.nodup.q30"	"A_Apc2.8m.nodup.q30"	"A_Apc3.8m.nodup.q30"	"A_Apc4.8m.nodup.q30"	"A_Apc5.8m.nodup.q30"	"A_Apc6.8m.nodup.q30"	"A_Apc7.8m.nodup.q30"	"A_Apc8.8m.nodup.q30"	"A_Apc9.8m.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"4:77750001-77760000"	0	0	2.1459073969428	2.71502193126841	5.3609242233361	9.41826409956182	1.44867510693757	0	0	3.45896717177272	0	4.21901111723493	28.9053451836577	12.0707139344464	0	14.4639636973796	1.4859359873636	9.97122660118135	1.34364915493202	196.913615780643	81.4210860570774	72.1609365605962	6.21642053670503	50.0101663523885	33.1297629435823	0	43.0412246623546	37.4077897981476	109.80655816439	39.3422786989538	22.5216471170294	0.000751992606254837	0.000751992606209173	3.32694917541218	4.01677645629631	"upsig"	"upsig"	"upsig"	"upsig"
"2:43690001-43700000"	2.87817739991786	2.77921235315424	0	0	12.0620795025062	1.3454662999374	0	0	1.80342016831501	0	5.87730753195327	0.703168519539155	0	0	0	0	0	12.8201484872332	80.6189492959211	80.9609988227036	13.9181343687312	0	0	21.4329284367379	0	0	7.42090080385424	40.4004129819994	0	16.7568964828877	35.5987325398206	0.00567848920377682	0.00567848920379321	3.35273166640404	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"5:22010001-22020000"	0	57.6686563279504	2.8612098625904	0	62.9908596241992	12.1091966994366	0	5.83816788366925	3.60684033663002	48.4255404048181	0	25.3140667034096	0	63.1937376568074	0	20.4906152379545	0	3.56115235756477	0	0	1.39181343687312	134.01316789825	31.7728160764924	111.451227871037	2.88084895161585	793.066211251111	599.608784951422	282.054735078033	58.132883734089	29.1424286658917	331.286164044045	0.00993614412449261	0.00993614412453137	3.425405343991	4.01971340445615	"upsig"	"upsig"	"upsig"	"upsig"
"9:24090001-24100000"	0	1.38960617657712	20.0284690381328	0	14.7425416141743	6.05459834971831	2.89735021387515	1.45954197091731	0	0	1.46932688298832	21.7982241057138	1.44526725918289	1.42008399228781	0	0	0	2.84892188605181	67.8542823240669	0	65.4152315330366	0	136.761251807511	14.2886189578253	0	67.2205093440582	0	156.364561356257	0	128.226686129923	0	0.0033603836987264	0.00336038369872438	3.54323076402772	3.31808257302612	"upsig"	"upsig"	"upsig"	"upsig"
"13:77620001-77630000"	4.31726609987679	0	0	0	6.70115527917013	0	0	7.29770985458656	0	0	0	0	4.33580177754865	0	0	4.82132123245988	5.9437439494544	0	10.0773686619901	0	0	1.47267217470605	0	0	1.44042447580793	59.0725688175057	69.0143774758444	58.3561520851102	70.3336124190213	9.47128931641479	4.35902847426375	0.00804167834868174	0.00804167834870939	3.55467601825028	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"6:25100001-25110000"	0	0	0	0	1.34023105583403	1.3454662999374	0	1.45954197091731	0	0	1.46932688298832	0	0	0	0	0	0	0.712230471512953	4.03094746479606	13.0360930307743	5.56725374749247	0	0	0	2.16063671371189	0	2.9683603215417	0	5.74151938114459	8.7427285997675	12.3505806770806	0.00165577839923911	0.00165577839921416	3.57878941763059	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"11:57070001-57080000"	10.0736208997125	0	0	0	13.4023105583403	8.07279779962441	0	1.45954197091731	0	1.38358686870909	2.93865376597663	1.40633703907831	0	0	0	9.64264246491977	0	4.27338282907772	0	6.17499143562993	134.309996658256	17.6720660964725	22.1028285749512	64.2987853102138	82.8244073589558	4.07397026327625	16.3259817684793	21.6965180829256	35.8844961321537	57.5562966151361	0	0.00151392793567986	0.00151392793565208	3.605665039955	4.97097840183715	"upsig"	"upsig"	"upsig"	"upsig"
"18:40170001-40180000"	0.719544349979464	0	0	0	0	0	4.34602532081272	3.64885492729328	5.41026050494502	0	0	2.81267407815662	4.33580177754865	1.42008399228781	0	12.0533030811497	0	5.69784377210363	108.835581549494	47.3416010064962	4.87134702905591	19.1447382711786	0	12.8597570620428	18.725518185503	4.07397026327625	54.9146659485214	20.2002064909997	15.7891782981476	107.098425347152	0	0.00230070156929465	0.00230070156927964	3.82459906275462	5.70177822032093	"upsig"	"upsig"	"upsig"	"upsig"
"9:9960001-9970000"	0.719544349979464	0	0	0	2.68046211166805	4.03639889981221	0	0	0	0	0	0	0	0	0	9.64264246491977	0	2.84892188605181	98.0863883100374	0	0	3.68168043676511	22.1028285749512	5.71544758313011	0	0	22.2627024115627	20.9483622869626	0	57.5562966151361	29.7866945741356	0.0096530691530297	0.00965306915306685	4.17590911688141	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"15:70030001-70040000"	0	14.5908648540597	7.15302465647599	0	15.4126571420913	16.8183287492175	0	2.91908394183463	0	0	0	0	0	0	0	12.0533030811497	0	4.98561330059067	6.71824577466009	0	69.5906718436559	77.3152891720674	0	8.57317137469517	4.32127342742378	180.612681671914	68.272287395459	23.9409854708144	10.047658917003	276.124511609324	340.004220992573	0.00647125053978607	0.00647125053980846	4.31868446676733	Inf	"upsig"	"upsig"	"upsig"	"upsig"
